"a","e","i","w","q","ad","per.y","H","diameter","albedo","rot_per"
5.182,0.0352,3.35,231.99,5.000,5.37,11.8,11.42,22.193,0.119,15.92
5.175,0.1438,18.51,128.50,4.431,5.92,11.8,10.32,49.960,0.065,17.367
5.274,0.1534,14.68,182.24,4.465,6.08,12.1,10.17,51.136,0.062,32.44
5.279,0.0651,13.71,127.67,4.935,5.62,12.1,10.57,41.561,0.065,
5.134,0.1281,14.47,89.12,4.476,5.79,11.6,10.98,31.327,0.086,
5.154,0.1433,4.68,15.66,4.415,5.89,11.7,11.60,24.636,0.080,
5.233,0.0434,11.31,159.56,5.006,5.46,12,11.54,26.794,0.068,14.02
5.181,0.0927,24.05,111.56,4.701,5.66,11.8,10.91,31.190,0.095,8.47
5.227,0.0693,11.47,87.19,4.865,5.59,12,10.70,39.151,0.073,8.05
5.155,0.0648,10.08,39.82,4.821,5.49,11.7,11.93,22.617,0.072,
5.215,0.2094,2.05,304.47,4.123,6.31,11.9,10.15,53.202,0.045,
5.174,0.1250,21.09,177.86,4.527,5.82,11.8,10.98,30.252,0.092,7.284
5.107,0.0685,29.77,93.41,4.757,5.46,11.5,10.89,37.861,0.071,17.0111
5.238,0.0725,30.84,65.76,4.859,5.62,12,10.00,63.835,0.052,15.82
5.155,0.1487,6.57,342.16,4.388,5.92,11.7,11.76,25.102,0.064,
5.175,0.0580,1.78,325.51,4.874,5.48,11.8,11.35,26.458,0.084,
5.239,0.0367,9.51,161.91,5.047,5.43,12,10.31,47.819,0.070,28.48
5.14,0.0216,26.43,216.64,5.029,5.25,11.7,11.50,22.289,0.098,
5.174,0.0932,11.86,229.76,4.692,5.66,11.8,11.55,24.505,0.089,
5.241,0.0939,12.80,273.81,4.749,5.73,12,11.15,32.174,0.074,
5.244,0.0404,43.42,128.73,5.032,5.46,12,10.12,54.077,0.066,9.272
5.143,0.1523,8.44,339.93,4.360,5.93,11.7,11.79,22.991,0.084,13.4
5.118,0.0588,5.75,37.84,4.817,5.42,11.6,11.58,,,
5.184,0.0525,7.61,4.04,4.912,5.46,11.8,11.49,24.746,0.087,6.971
5.148,0.1240,22.95,97.51,4.510,5.79,11.7,10.82,36.148,0.071,
5.175,0.0119,8.23,285.17,5.114,5.24,11.8,11.27,28.958,0.084,
5.219,0.1370,2.54,103.92,4.504,5.93,11.9,12.20,,,
5.214,0.1138,5.08,66.65,4.621,5.81,11.9,10.85,30.901,0.106,
5.221,0.0905,17.95,315.53,4.749,5.69,11.9,10.78,41.483,0.059,20.232
5.177,0.0494,4.51,99.12,4.921,5.43,11.8,11.19,33.962,0.067,11.934
5.197,0.0554,9.11,53.21,4.909,5.48,11.8,12.15,14.567,0.159,11.453
5.261,0.0746,3.84,166.30,4.869,5.65,12.1,11.86,27.554,0.053,8.46
5.081,0.0619,4.32,37.10,4.766,5.40,11.5,11.46,23.927,0.102,42.4
5.082,0.0917,0.92,255.79,4.616,5.55,11.5,11.23,23.198,0.099,29.23
5.074,0.1097,2.30,149.50,4.517,5.63,11.4,11.54,17.676,0.171,375
5.173,0.1339,15.43,75.27,4.481,5.87,11.8,11.58,23.551,0.088,53.52
5.179,0.0275,9.34,118.03,5.037,5.32,11.8,11.14,28.324,0.088,15.13
5.223,0.1053,6.64,355.80,4.673,5.77,11.9,11.40,33.302,0.058,400
5.24,0.0484,7.30,304.43,4.987,5.49,12,11.45,25.420,0.109,20.176
5.158,0.0659,4.91,336.44,4.819,5.50,11.7,11.63,21.300,0.107,13.698
5.161,0.0655,6.40,160.93,4.823,5.50,11.7,11.43,24.267,0.109,
5.233,0.0459,13.96,167.82,4.993,5.47,12,11.04,36.053,0.071,
5.203,0.0969,7.25,20.84,4.699,5.71,11.9,12.24,18.989,0.093,
5.26,0.1219,7.53,127.31,4.619,5.90,12.1,11.67,22.511,0.096,
5.191,0.0080,10.52,86.33,5.150,5.23,11.8,11.34,25.326,0.100,
5.178,0.0745,7.94,122.65,4.792,5.56,11.8,11.72,22.073,0.100,
5.225,0.0980,10.70,243.81,4.713,5.74,11.9,11.97,21.640,0.086,
5.265,0.0705,5.64,164.18,4.894,5.64,12.1,11.06,29.285,0.108,30.64
5.156,0.0974,8.26,52.03,4.654,5.66,11.7,12.06,,,
5.184,0.1345,28.59,232.79,4.487,5.88,11.8,11.59,24.971,0.086,
5.272,0.1128,7.97,54.91,4.678,5.87,12.1,11.77,19.437,0.107,
5.269,0.0864,8.40,279.54,4.814,5.72,12.1,11.75,24.835,0.072,
5.14,0.0853,8.67,25.33,4.701,5.58,11.7,11.45,28.530,0.066,
5.214,0.0921,15.00,127.77,4.734,5.69,11.9,10.62,57.54,0.0369,7.51
5.265,0.1460,6.48,254.31,4.496,6.03,12.1,12.19,17.245,0.086,
5.211,0.0321,4.45,6.93,5.043,5.38,11.9,10.68,43.169,0.060,8.519
5.239,0.0417,13.65,286.29,5.020,5.46,12,11.43,25.942,0.087,
5.147,0.1620,2.94,186.02,4.314,5.98,11.7,11.95,22.330,0.098,19.615
5.179,0.0839,11.37,245.22,4.744,5.61,11.8,12.30,19.176,0.159,
5.177,0.2036,12.02,165.09,4.123,6.23,11.8,10.76,33.292,0.101,
