"a","e","i","w","q","ad","per.y","H","diameter","albedo","rot_per"
3.984,0.2194,7.64,163.05,3.110,4.86,7.95,10.54,50.389,0.037,14.7
3.42,0.0689,10.98,155.30,3.184,3.66,6.32,10.92,36.05,0.0858,11.41
3.202,0.1170,22.05,271.91,2.827,3.58,5.73,11.30,33.479,0.033,
3.928,0.1138,11.11,268.18,3.481,4.38,7.79,11.07,35.910,0.055,17.32
3.205,0.1518,10.90,317.16,2.719,3.69,5.74,11.01,36.553,0.050,6.6749
3.97,0.1553,4.41,302.78,3.354,4.59,7.91,11.33,31.104,0.073,6.62
3.407,0.0237,14.07,226.04,3.326,3.49,6.29,11.67,27.397,0.067,138.017
3.226,0.0132,9.69,98.93,3.183,3.27,5.79,11.50,31.455,0.048,
3.953,0.1303,2.77,108.65,3.438,4.47,7.86,12.26,10.184,0.324,7.67
3.385,0.0903,19.15,351.00,3.079,3.69,6.23,11.11,33.331,0.087,
3.392,0.1792,8.32,315.53,2.784,4.00,6.25,11.17,32.519,0.072,
3.966,0.2484,1.37,136.29,2.981,4.95,7.9,11.05,36.582,0.063,5.675
3.21,0.0649,17.49,226.21,3.002,3.42,5.75,11.12,34.589,0.070,14.43
3.221,0.1195,2.48,108.02,2.837,3.61,5.78,11.81,26.312,0.071,
3.957,0.1931,3.51,341.77,3.193,4.72,7.87,11.92,22.039,0.084,4.307
4.006,0.1735,6.05,122.54,3.311,4.70,8.02,11.10,,,6.725
3.959,0.1296,9.68,176.77,3.446,4.47,7.88,11.28,32.74,0.0865,9.61
3.204,0.1236,7.35,346.42,2.808,3.60,5.74,12.03,28.129,0.032,15.451
3.936,0.1122,7.86,21.46,3.495,4.38,7.81,11.17,34.898,0.063,421.1
3.94,0.1959,3.74,179.37,3.168,4.71,7.82,10.54,49.135,0.051,18.239
3.216,0.2044,21.32,48.14,2.558,3.87,5.77,10.46,42.882,0.039,9.974
3.228,0.1872,6.43,108.38,2.624,3.83,5.8,12.29,,,
3.242,0.1519,2.27,359.85,2.750,3.73,5.84,12.88,13.458,0.117,12.124
3.388,0.1461,11.01,235.52,2.893,3.88,6.24,11.48,,,5.022
3.39,0.0445,4.93,147.69,3.240,3.54,6.24,11.96,21.880,0.102,
4.02,0.2020,3.82,39.58,3.208,4.83,8.06,11.14,36.657,0.063,75.668
3.223,0.0811,7.79,215.53,2.962,3.48,5.79,11.88,25.830,0.037,6.9974
3.368,0.0865,10.85,174.48,3.077,3.66,6.18,11.24,18.825,0.181,14.1
3.225,0.4776,2.56,137.78,1.685,4.77,5.79,15.17,6.086,0.047,
3.93,0.2057,4.98,80.25,3.121,4.74,7.79,10.63,46.032,0.058,11.478
3.319,0.1508,5.38,162.41,2.818,3.82,6.05,11.66,27.691,0.064,51.469
3.234,0.1141,21.53,255.05,2.865,3.60,5.82,10.84,53.112,0.019,6.712
3.238,0.1060,1.50,5.23,2.895,3.58,5.83,12.14,24.849,0.037,11.27
3.239,0.1624,1.93,239.50,2.713,3.76,5.83,12.37,19.761,0.072,3.7992
3.294,0.1828,2.74,312.40,2.692,3.90,5.98,12.80,14.006,0.099,3.84
3.218,0.1387,0.85,267.20,2.771,3.66,5.77,13.11,11.687,0.098,
3.225,0.1936,0.55,341.95,2.601,3.85,5.79,12.78,15.115,0.077,9.559
3.984,0.1443,3.93,23.61,3.409,4.56,7.95,10.79,30.769,0.108,19.089
3.429,0.1563,5.97,260.36,2.893,3.97,6.35,12.08,25.817,0.055,12.14
3.224,0.0653,15.55,354.85,3.014,3.43,5.79,11.68,28.402,0.061,
3.259,0.1226,1.95,82.88,2.860,3.66,5.88,12.42,19.580,0.061,
3.962,0.2205,3.49,283.00,3.088,4.84,7.89,11.71,29.870,0.050,40.05
3.249,0.0962,1.69,251.07,2.936,3.56,5.86,12.66,14.949,0.087,8.56077
3.21,0.1191,1.99,110.65,2.828,3.59,5.75,12.47,16.285,0.088,16.44
3.233,0.0221,3.53,11.42,3.161,3.30,5.81,12.23,20.885,0.064,
3.256,0.0470,17.39,13.59,3.103,3.41,5.87,11.45,29.305,0.066,
3.945,0.2420,9.50,197.89,2.990,4.90,7.83,10.95,35.675,0.067,45.83
3.429,0.0943,5.06,117.33,3.106,3.75,6.35,11.46,36.115,0.049,5.7502
3.419,0.0325,1.11,106.37,3.308,3.53,6.32,12.41,36.83,0.0206,9.36
3.231,0.1004,21.32,245.19,2.906,3.55,5.81,11.34,31.322,0.051,9.764
3.204,0.1578,10.96,126.36,2.699,3.71,5.74,12.14,25.982,0.050,282.005
3.217,0.1278,2.93,11.68,2.806,3.63,5.77,13.12,13.854,0.064,
3.201,0.1415,3.19,357.59,2.748,3.65,5.73,12.52,,,10.624
3.4,0.0195,6.17,274.96,3.334,3.47,6.27,11.80,16.797,0.172,144.428
3.398,0.1625,10.00,32.14,2.846,3.95,6.26,11.19,37.303,0.057,10.887
3.297,0.2874,17.19,157.83,2.350,4.25,5.99,13.10,11.059,0.120,
3.208,0.1679,0.55,128.68,2.669,3.75,5.74,12.08,21.245,0.082,7.394
3.895,0.0273,1.51,222.89,3.788,4.00,7.69,11.07,36.714,0.069,20
3.205,0.0718,16.80,218.47,2.975,3.44,5.74,11.48,30.413,0.058,
3.945,0.1338,3.10,19.90,3.417,4.47,7.84,11.91,28.461,0.050,87.918
3.207,0.1675,1.68,226.63,2.669,3.74,5.74,12.72,15.723,0.078,3.45
3.439,0.0391,7.27,145.50,3.304,3.57,6.38,11.53,32.880,0.048,422.93
3.205,0.1665,1.77,268.57,2.671,3.74,5.74,13.07,15.114,0.051,
3.975,0.1488,2.61,72.84,3.383,4.57,7.92,13.34,15.111,0.030,20
3.989,0.1603,9.82,94.72,3.350,4.63,7.97,11.02,38.606,0.052,8.917
3.22,0.1034,9.54,96.44,2.887,3.55,5.78,11.86,25.790,0.055,10.571
3.262,0.0907,2.21,182.14,2.966,3.56,5.89,12.37,19.686,0.077,
3.222,0.1192,2.21,87.06,2.838,3.61,5.78,12.78,14.716,0.082,
3.203,0.1613,9.45,199.09,2.686,3.72,5.73,11.74,16.034,0.207,2.879
3.393,0.0850,19.27,106.88,3.104,3.68,6.25,11.71,9.865,0.408,10.51
3.245,0.0587,17.31,34.64,3.054,3.44,5.84,11.47,30.74,0.0744,8.24
3.989,0.2815,7.24,117.26,2.866,5.11,7.97,11.36,28.645,0.086,40.92
3.202,0.0947,0.70,124.55,2.898,3.50,5.73,12.96,13.051,0.079,
3.965,0.1455,5.28,209.96,3.388,4.54,7.9,11.75,24.429,0.082,502.
3.211,0.0706,18.69,270.95,2.984,3.44,5.75,11.43,32.685,0.049,
3.201,0.1447,1.74,216.43,2.738,3.66,5.73,13.00,11.856,0.105,
3.212,0.0620,14.90,12.29,3.012,3.41,5.76,11.73,28.824,0.060,9.545
