"diameter","rot_per","epoch.mjd","a","e","i","om","w","ma","H","albedo"
4.816,2.818,59600,2.239,0.1279,3.31,35.45,229.82,224.57,13.65,0.527
4.843,2.7063,59600,1.833,0.7725,9.03,309.49,227.78,9.03,14.13,0.227
1.878,2.6902,59600,1.524,0.0647,20.28,245.03,95.54,218.26,16.13,0.182
0.935,2.8233,59600,0.9475,0.2963,48.97,58.53,37.43,210.42,16.60,0.507
4.191,2.69549,59600,2.046,0.1368,16.70,237.01,133.21,27.36,13.71,0.400
2.823,2.5488,59600,1.838,0.2776,11.39,117.74,108.70,299.43,14.23,0.533
7.052,2.64759,59600,2.453,0.1351,6.26,355.86,26.22,243.83,13.16,0.246
2.033,4.5609,59600,1.955,0.1164,23.79,88.16,67.52,176.48,14.06,1.000
5.046,3.6242,59600,2.383,0.0679,6.14,246.89,257.70,286.62,13.21,0.480
3.147,2.994,59600,1.917,0.0753,22.55,49.09,290.19,95.16,14.12,0.310
,3.6196,59600,2.34,0.0631,5.96,326.05,250.09,275.70,13.48,
4.483,2.955,59600,2.28,0.0895,4.40,112.51,340.85,206.16,13.72,0.350
,3.583,59600,2.249,0.0938,6.78,250.62,125.11,206.90,13.04,
4.3,3.1999,59600,2.143,0.4363,7.91,14.10,335.74,0.95,15.37,0.223
6.039,93.7,59600,2.357,0.1657,1.70,39.81,311.94,278.72,13.46,0.193
,3.3642,59600,2.249,0.1329,6.61,242.34,131.49,213.93,13.82,
2.672,2.7481,59600,1.928,0.1170,24.01,125.31,263.80,243.16,14.26,0.621
4.728,3.7824,59600,1.91,0.0721,27.52,141.25,208.87,336.71,13.98,0.198
3.526,2.8028,59600,2.333,0.2143,5.90,189.25,163.99,186.81,13.49,0.818
6.347,2.74542,59600,2.312,0.2363,23.00,147.18,258.87,251.70,12.96,0.220
4.057,30.267,59600,2.329,0.1345,3.40,303.85,69.40,213.54,13.59,0.468
,2.6832,59600,2.379,0.1836,4.21,315.26,87.16,152.18,13.99,
,2.8958,59600,2.159,0.1526,5.40,331.28,51.75,283.09,13.65,
8.105,2.9222,59600,2.302,0.1786,8.01,299.72,52.30,8.25,13.41,0.129
4.954,2.70932,59600,2.167,0.1926,4.11,45.15,281.58,177.81,13.69,0.285
,2.39707,59600,2.293,0.1431,5.99,35.47,351.53,5.56,14.38,
3.739,3.6203,59600,1.937,0.0768,26.28,76.83,265.64,182.38,13.85,0.503
3.139,2.3247,59600,2.169,0.1272,1.80,129.36,81.18,206.71,14.81,0.412
8.074,12.3415,59600,2.446,0.1813,12.08,115.80,193.49,41.55,13.26,0.169
,2.67025,59600,2.357,0.3328,4.58,193.19,144.13,329.31,14.82,
1.298,2.679,59600,1.982,0.3900,8.30,102.63,354.73,278.40,16.85,0.260
9.015,3.5238,59600,2.309,0.2108,5.49,321.12,245.71,166.31,13.82,0.089
5.421,4.2432,59600,1.938,0.0861,21.79,315.30,86.45,116.59,14.05,0.163
6.680,2.43995,59600,2.34,0.2034,6.86,275.66,204.27,321.71,13.28,0.165
,2.74689,59600,2.739,0.0868,6.99,42.98,119.78,83.88,12.59,
6.251,2.58975,59600,2.587,0.1124,14.32,175.01,17.55,83.14,13.11,0.343
4.911,49.12,59600,2.37,0.3194,21.81,278.23,113.11,356.85,13.34,0.320
5.473,2.68763,59600,2.24,0.1997,6.73,23.49,331.87,56.82,13.37,0.408
7.447,3.16001,59600,2.297,0.1480,7.20,61.47,142.86,68.07,13.09,0.242
2.298,2.337,59600,2.436,0.6638,26.09,165.90,323.06,124.91,15.10,0.257
2.941,2.34843,59600,1.877,0.0767,21.97,195.70,154.18,189.52,14.45,0.468
1.690,372,59600,1.925,0.0749,19.94,217.68,145.68,51.82,15.01,0.815
,2.7454,59600,2.632,0.2141,17.26,135.75,35.32,129.41,12.91,
4.773,3.61692,59600,2.25,0.1585,5.43,48.93,320.69,85.96,13.99,0.186
,3.3503,59600,2.242,0.2205,4.78,208.61,143.48,178.01,15.07,
5.748,4.435,59600,3.282,0.5546,40.78,88.86,55.40,3.38,14.36,0.133
4.197,30.54,59600,2.224,0.1714,5.91,132.62,141.95,340.23,13.80,0.354
,4.217,59600,1.913,0.1183,19.57,247.89,171.30,162.88,14.39,
4.115,3.0852,59600,2.29,0.2294,5.10,214.56,148.58,260.16,14.21,0.262
6.176,2.98701,59600,2.581,0.1085,12.66,346.38,211.71,10.62,13.28,0.320
3.573,2.7952,59600,2.286,0.1840,5.03,210.60,155.96,249.28,14.32,0.152
2.840,2.2856,59600,2.224,0.1124,6.14,165.52,281.59,331.42,14.86,0.245
5.332,3.0111,59600,2.67,0.1041,1.96,278.64,130.11,120.30,14.13,0.188
8.850,3.4221,59600,2.291,0.1989,9.43,97.78,125.39,110.84,13.98,0.056
3.476,2.8657,59600,2.27,0.2059,4.05,76.80,267.70,11.78,14.31,0.441
3.589,2.5099,59600,2.218,0.1645,8.06,182.85,165.07,115.90,14.09,0.414
3.552,3.3484,59600,2.235,0.2012,4.56,223.59,114.88,103.11,14.69,0.267
,4.8219,59600,1.944,0.0698,19.29,224.62,69.85,66.31,15.16,
3.203,3.1872,59600,2.58,0.2313,3.52,10.75,59.18,40.89,14.34,0.432
,32.9034,59600,1.996,0.3162,29.74,263.31,344.95,91.79,13.21,
4.988,2.8289,59600,2.213,0.1410,4.86,108.21,290.32,308.51,13.56,0.310
,2.7286,59600,2.263,0.1871,5.84,2.92,17.51,208.87,14.70,
10.875,3.3303,59600,2.36,0.2711,23.28,68.79,251.97,153.81,12.52,0.197
,2.20231,59600,2.164,0.2375,3.14,308.41,9.57,173.22,14.81,
2.859,2.5327,59600,2.273,0.1770,4.60,266.02,14.52,33.74,14.57,0.412
,2.4224,59600,2.366,0.2339,2.75,143.98,210.54,243.94,14.84,
3.742,2.52735,59600,2.221,0.1705,8.18,62.74,177.37,179.95,14.43,0.290
,3.0586,59600,2.209,0.3148,26.79,175.44,119.51,192.82,14.83,
,3.2486,59600,1.72,0.2550,14.43,132.62,140.60,207.37,17.32,
1.720,2.95998,59600,1.948,0.0800,22.03,190.83,149.90,34.25,14.68,1.000
5.253,2.5932,59600,2.399,0.1385,2.43,7.63,180.14,95.20,13.72,0.306
3.078,2.20827,59600,2.298,0.2850,21.93,313.74,77.89,20.32,14.36,0.387
4.055,3.6421,59600,2.238,0.2069,6.42,286.02,39.56,164.02,14.10,0.386
57.341,78.9,59600,5.18,0.0708,15.04,241.53,137.04,16.59,10.04,0.065
,10,59600,2.838,0.0235,2.44,34.29,223.30,156.64,14.06,
,3.1285,59600,2.204,0.1839,5.29,199.73,290.87,322.14,14.54,
3.446,3.8382,59600,2.321,0.1935,8.49,66.09,55.46,68.98,14.25,0.410
,2.72627,59600,2.191,0.2052,4.26,222.77,57.06,304.58,14.63,
3.348,3.3529,59600,2.399,0.1443,5.45,243.42,104.72,334.41,13.96,0.572
2.144,3.8216,59600,1.917,0.0744,22.98,184.38,265.82,171.27,14.73,0.668
4.942,3.24474,59600,2.378,0.0767,6.10,98.15,256.40,49.57,13.38,0.416
,2.5586,59600,2.363,0.2476,2.38,13.65,358.05,330.30,14.45,
1.953,2.8655,59600,2.187,0.0849,3.74,320.31,178.19,176.93,15.33,0.222
4.988,,59600,2.579,0.1832,12.69,286.40,47.51,213.13,13.50,0.340
5.682,4.03,59600,2.843,0.0839,2.88,135.99,220.73,269.48,13.84,0.181
,2.6649,59600,1.904,0.2988,19.35,143.76,153.40,260.61,15.69,
,4.1856,59600,2.32,0.2148,6.36,261.40,91.90,133.20,14.97,
,2.66087,59600,1.925,0.0849,21.65,35.49,1.41,344.29,15.07,
,24.083,59600,2.171,0.3611,29.74,75.30,133.10,169.30,14.95,
2.899,4.4011,59600,2.229,0.1985,5.75,265.70,41.49,28.00,14.75,0.365
2.151,2.5344,59600,2.318,0.1005,3.78,188.55,108.54,254.91,15.92,0.167
,2.5493,59600,1.811,0.0891,31.61,102.79,73.48,242.84,15.00,
,7.98,59600,48,0.3745,13.47,183.01,131.69,50.76,5.81,
,2.907,59600,2.343,0.0517,4.53,263.02,285.50,334.18,14.53,
,3.2,59600,2.197,0.1071,4.72,72.94,260.98,40.74,15.78,
4.987,2.68679,59600,1.918,0.1541,19.69,268.71,58.95,245.07,13.45,0.343
1.816,3.4885,59600,1.963,0.0271,22.26,174.02,77.45,353.51,14.84,0.931
5.089,2.9661,59600,2.352,0.1905,24.70,316.22,186.12,121.18,13.61,0.238
,2.5163,59600,2.015,0.3913,6.50,222.71,156.15,46.50,17.61,
,,59600,2.029,0.4300,5.96,299.73,350.53,47.44,17.16,
10.625,3.4116,59600,2.393,0.2664,10.74,323.92,18.79,260.83,13.30,0.052
,3.0171,59600,2.193,0.1926,6.30,221.80,144.13,131.88,14.64,
,3.299,59600,2.223,0.2818,6.50,303.82,353.30,149.50,14.79,
,2.5946,59600,2.256,0.3813,8.68,66.48,41.96,261.71,14.95,
0.929,2.6236,59600,1.137,0.1443,13.91,139.35,206.94,7.96,16.76,0.408
3.423,16.675,59600,2.324,0.1927,24.17,182.24,3.15,183.04,14.39,0.287
,5.28,59600,39.52,0.2775,15.47,169.46,68.42,9.71,4.84,
192.000,5.,59600,37.62,0.5339,2.43,352.09,158.77,24.55,7.61,0.050
,2.64138,59600,2.348,0.1890,1.97,126.23,203.94,102.55,15.83,
,3.1393,59600,2.176,0.1640,4.40,181.98,181.06,3.32,15.61,
,2.6236,59600,2.4,0.1804,5.59,334.88,25.67,85.94,15.18,
,6.21,59600,39.64,0.2293,8.42,97.06,294.65,9.90,4.96,
,,59600,52.81,0.2421,0.25,260.20,85.04,47.18,4.92,
,8.84,59600,43.55,0.0414,7.99,189.06,152.90,297.84,2.50,
,2.5572,59600,1.812,0.1118,22.21,331.17,36.36,300.37,15.28,
,2.7629,59600,1.896,0.0655,28.98,79.07,21.48,158.17,15.18,
,2.7375,59600,1.644,0.2145,40.62,85.43,58.26,288.07,16.72,
,3.33,59600,1.871,0.1160,22.44,268.69,126.88,240.16,15.76,
,3.05204,59600,2.383,0.3315,13.09,168.45,129.37,170.43,15.09,
,14.382,59600,42.8,0.1407,19.40,204.57,275.82,304.28,3.86,
11.117,,59600,3.951,0.1337,3.35,285.50,150.47,219.35,13.53,0.068
,1.1,59600,44.96,0.1175,2.90,132.66,333.91,68.94,6.85,
,,59600,58.98,0.3995,19.75,312.42,251.92,344.36,7.38,
,,59600,55.02,0.3989,5.89,4.05,142.92,35.29,6.88,
,4.43,59600,99.41,0.8208,22.33,172.17,319.44,11.83,6.45,
0.78,2.2593,59600,1.644,0.3838,3.41,73.20,319.32,232.01,18.07,
,2.4924,59600,0.991,0.7201,22.69,351.85,151.16,147.56,17.85,
1.317,2.7645,59600,0.6424,0.6884,38.88,244.90,192.65,182.57,16.59,
,,59600,44.12,0.0909,0.56,85.04,201.86,60.28,5.88,
2.301,2.1102,59600,2.333,0.4580,5.72,308.86,50.29,31.81,15.50,0.211
,13.894,59600,1.655,0.6242,6.07,34.10,92.88,176.54,17.51,
3.182,4.49,59600,1.844,0.0225,21.99,299.31,308.43,307.32,14.67,0.332
2.697,2.582,59600,2.324,0.2766,22.60,32.40,108.23,311.09,14.54,0.422
,3.1664,59600,1.93,0.0955,18.13,292.30,129.52,328.10,13.86,
,300.24,59600,43.6,0.0060,2.25,304.43,249.61,311.98,5.29,
,2.8802,59600,1.962,0.0798,24.34,93.31,331.41,314.30,14.89,
,3.1451,59600,2.219,0.0270,1.80,114.32,188.49,5.90,16.70,
,,59600,41.93,0.0685,3.76,45.53,0.86,109.78,6.68,
,,59600,57.44,0.2867,19.86,127.00,314.93,36.34,4.68,
,,59600,38.4,0.0596,5.38,150.87,118.93,289.70,7.06,
0.775,2.8228,59600,1.593,0.3316,13.02,66.75,50.61,11.45,17.25,0.461
,2.5141,59600,1.853,0.4833,9.14,19.89,197.64,11.54,18.60,
,,59600,44.39,0.0199,2.57,304.56,245.61,156.95,5.80,
0.760,2.4004,59600,1.061,0.2702,21.90,202.84,329.33,62.10,17.60,0.281
,13.188,59600,39.1,0.2293,20.58,268.66,72.97,183.34,2.19,
,2.833,59600,2.292,0.3981,24.95,287.95,169.55,71.41,13.47,
,2.4172,59600,2.364,0.3001,4.39,269.30,88.78,327.12,15.81,
1.728,2.9649,59600,2.256,0.2747,6.83,242.49,92.70,307.38,15.65,0.341
,,59600,43.78,0.1935,7.21,42.89,303.10,303.93,6.60,
,,59600,47.7,0.2585,9.20,109.69,44.47,321.95,4.70,
,6.09,59600,42.34,0.1026,23.92,279.98,313.32,124.37,4.30,
,,59600,44.31,0.0422,1.97,185.57,289.06,339.20,6.50,
,153.2935,54000,39.45,0.2502,17.09,110.38,112.60,25.25,-0.45,
,,59600,43.21,0.0212,1.12,96.83,172.07,76.85,6.32,
,3.9154,59600,42.99,0.1989,28.21,122.13,239.71,218.88,0.23,
,25.9,59600,68.07,0.4325,43.84,36.03,151.30,207.49,-1.21,
,22.8266,59600,45.28,0.1654,29.00,79.48,295.21,167.00,-0.21,
,2.3886,59600,1.638,0.4169,4.68,268.53,24.91,353.40,17.68,
,2.3017,59600,2.308,0.5955,24.49,18.21,48.07,219.94,17.77,
,2.3192,59600,0.8191,0.4624,25.66,155.86,253.40,359.71,14.60,
,4.243,59600,1.777,0.4144,60.68,43.45,2.55,163.93,15.98,
,13.7744,59600,39.63,0.1989,6.48,162.42,209.26,16.07,6.88,
,,59600,44.27,0.0642,5.19,1.64,302.05,126.97,5.80,
2,3.423,59600,1.986,0.4798,6.70,325.75,173.05,351.49,17.12,
,2.8174,59600,1.703,0.4516,4.64,144.38,197.94,83.49,18.37,
,,59600,45.48,0.1119,1.97,322.48,317.21,71.03,6.96,
,,59600,43.27,0.0559,4.91,103.47,33.97,237.06,6.67,
0.4,2.536,59600,1.679,0.4625,1.09,346.53,21.54,146.42,19.40,
0.906,2.642,59600,0.8727,0.3737,51.18,124.42,7.65,253.25,17.32,0.236
